,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
0,1908-09-17,17:18:00,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1,1,1,1,0,0
1,1909-09-07,,"Juvisy-sur-Orge, France",,Wright Byplane,1,0,1,1,0,0,0
2,1912-07-12,06:30:00,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5,5,0,5,0
3,1913-08-06,,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,0,1,1,0,1,0
4,1913-09-09,18:30:00,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),20,,,14,,,0
5,1913-10-17,10:30:00,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),28,,,28,,,0
6,1915-03-05,01:00:00,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,0,41,17,0,17,0
7,1915-09-03,15:20:00,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19,,,19,,,0
8,1916-07-28,,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20,,,20,,,0
9,1916-09-24,01:00:00,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22,,,22,,,0
10,1916-10-01,23:45:00,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19,19,0,19,0
11,1916-11-21,,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),28,,,27,,,0
12,1916-11-28,23:45:00,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20,,,20,,,0
13,1917-03-04,,"Near Gent, Belgium",Military - German Army,Airship,20,,,20,,,0
14,1917-03-30,,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23,,,23,,,0
15,1917-05-14,05:15:00,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21,,,21,,,0
16,1917-06-14,08:45:00,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24,,,24,,,0
17,1917-06-17,,"Near Yarmouth, England",,Zepplin L-48 (air ship),16,,,14,,,0
18,1917-08-21,07:00:00,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18,,,18,,,0
19,1917-10-20,07:45:00,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18,,,18,,,0
20,1918-04-07,21:30:00,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23,,,23,,,0
21,1918-08-05,,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),22,,,22,,,0
22,1918-08-11,10:00:00,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19,,,19,,,0
23,1918-12-16,,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0
24,1919-05-25,,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0
25,1919-07-19,,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0
26,1919-08-02,,"Verona, Italy",Caproni Company,Caproni Ca.48,14,12,2,14,12,2,0
27,1919-10-02,,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,0,1,1,0,1,0
28,1919-10-14,,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,0,1,1,0,1,0
29,1919-10-20,,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,1,0,1,0,0,0,0
30,1919-10-30,,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,0,1,1,0,1,0
31,1919-12-11,,"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,1,1,1,1,1,1,0
32,1920-03-10,,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0
